[Sat Dec 19 14:47:50 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:48:13 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:50:47 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:51:03 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 22:51:23 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 22:51:39 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:51:55 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:52:03 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:52:28 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:52:46 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 22:53:29 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 15:59:40 2015] [error] [client 117.176.140.238] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 16:04:55 2015] [error] [client 117.176.140.238] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
